Last Name,First Name,Position,Overall,Salary,Team,Year,Projected Salary,Difference,Standard Difference,Percent Difference
Randle,Rueben,WR,78.0,1025.0,PHI,2016.0,3503.999,-2478.999,0.96279611309,0.707477085467
Givens,Chris,WR,68.0,840.0,PHI,2016.0,879.776372881,-39.7763728814,0.0634454803995,0.0452119130582
Norman,Josh,CB,94.0,15000.0,WAS,2016.0,11612.0302857,3387.96971429,-1.07991681601,-0.291763768344
Davis,Vernon,TE,80.0,2400.0,WAS,2016.0,3081.9328,-681.9328,0.268874989477,0.221267900455
Blackmon,Will,CB,72.0,1025.0,WAS,2016.0,1507.76268919,-482.762689189,0.372899337469,0.320184796089
Galette,Junior,OLB,80.0,1600.0,WAS,2016.0,3265.96606897,-1665.96606897,0.659250284764,0.510099013213
LeRibeus,Josh,C,67.0,920.0,WAS,2016.0,961.718681818,-41.7186818182,0.064004292173,0.0433792985484
Toler,Greg,CB,72.0,840.0,WAS,2016.0,1507.76268919,-667.762689189,0.515798486422,0.442883149966
Garvin,Terence,ILB,67.0,750.0,WAS,2016.0,948.563621622,-198.563621622,0.163046362858,0.209330842018
Trevathan,Danny,ILB,85.0,6125.0,CHI,2016.0,5046.31827273,1078.68172727,-0.342803578765,-0.213756182027
Sitton,Josh,G,91.0,7000.0,CHI,2016.0,5326.41428571,1673.58571429,-0.542834165184,-0.314204946238
Massie,Bobby,RT,75.0,6000.0,CHI,2016.0,2262.42055,3737.57945,-2.07738416131,-1.65202683029
Freeman,Jerrell,ILB,86.0,4000.0,CHI,2016.0,6495.9501,-2495.9501,0.683148825592,0.384231723085
Porter,Tracy,CB,72.0,4000.0,CHI,2016.0,1507.76268919,2492.23731081,-1.92507346327,-1.65293738111
Hicks,Akiem,DE,78.0,5000.0,CHI,2016.0,3638.15957143,1361.84042857,-0.553597650153,-0.374321247277
Miller,Zach,TE,78.0,2750.0,CHI,2016.0,2748.0226875,1.9773125,-0.000951157455678,-0.000719540092953
McManis,Sherrick,CB,69.0,1425.0,CHI,2016.0,975.385616438,449.614383562,-0.611871787265,-0.460960645702
Unrein,Mitch,DT,68.0,1130.0,CHI,2016.0,991.39885,138.60115,-0.139230321651,-0.139803621923
Hoyer,Brian,QB,73.0,2000.0,CHI,2016.0,3076.40656,-1076.40656,0.283211350378,0.34989086748
Larsen,Ted,G,67.0,1650.0,CHI,2016.0,851.589863636,798.410136364,-1.52598278697,-0.937552418666
Acho,Sam,OLB,75.0,840.0,CHI,2016.0,2509.35111429,-1669.35111429,0.927131322203,0.665252106324
Thompson,Deonte,WR,64.0,840.0,CHI,2016.0,624.241423077,215.758576923,-0.923499532459,-0.3456332261
Paulsen,Logan,TE,70.0,760.0,CHI,2016.0,900.530806452,-140.530806452,0.282974894066,0.156053302613
Adams,Mike,LT,78.0,760.0,CHI,2016.0,5758.39038462,-4998.39038462,1.25064215973,0.868018673755
Boykin,Brandon,CB,71.0,760.0,CHI,2016.0,1264.04534667,-504.045346667,0.513248484752,0.39875574717
Moeaki,Tony,TE,71.0,760.0,CHI,2016.0,1094.0112,-334.0112,0.4422600571,0.305308757351
Becton,Nick,LT,65.0,675.0,CHI,2016.0,570.07375,104.92625,-1.64617977701,-0.184057325916
Jones,Marvin,WR,82.0,8000.0,DET,2016.0,4775.19426087,3224.80573913,-0.934243295927,-0.67532451309
Whitehead,Tahir,OLB,83.0,4000.0,DET,2016.0,4604.80076,-604.80076,0.194898906434,0.131341352541
Bademosi,Johnson,CB,74.0,2250.0,DET,2016.0,2110.21463636,139.785363636,-0.0665488025042,-0.0662422491189
Boldin,Anquan,WR,79.0,2750.0,DET,2016.0,3772.19958824,-1022.19958824,0.338316541285,0.270982370981
Charles,Stefan,DT,68.0,1750.0,DET,2016.0,991.39885,758.60115,-0.762044774659,-0.765182600323
Orlovsky,Dan,QB,66.0,1065.0,DET,2016.0,1243.81293103,-178.812931034,0.184026753203,0.143761916742
Muhlbach,Don,LS,50.0,1065.0,DET,2016.0,956.0058,108.9942,-0.435432846839,-0.114009977764
Forsett,Justin,RB,82.0,885.0,DET,2016.0,2670.66576667,-1785.66576667,0.961175451136,0.668621955227
Caldwell,Andre,WR,70.0,885.0,DET,2016.0,1102.87663934,-217.876639344,0.253367964298,0.197553045891
Kerley,Jeremy,WR,72.0,850.0,DET,2016.0,1269.113875,-419.113875,0.438266385644,0.330241346546
Schwartz,Geoff,G,81.0,840.0,DET,2016.0,4326.66205,-3486.66205,1.14615649931,0.80585495463
Walls,Darrin,CB,69.0,840.0,DET,2016.0,975.385616438,-135.385616438,0.184243747818,0.138802145692
Roberts,Andre,WR,71.0,760.0,DET,2016.0,1201.95042188,-441.950421875,0.474710518877,0.367694385585
Butler,Crezdon,CB,68.0,760.0,DET,2016.0,811.621716418,-51.6217164179,0.116849173097,0.0636031729729
Starks,James,RB,79.0,3000.0,GB,2016.0,1880.03523684,1119.96476316,-0.700458451723,-0.595714772367
Perry,Nick,OLB,81.0,5050.0,GB,2016.0,3395.98515385,1654.01484615,-0.626728473912,-0.487050081559
Cook,Jared,TE,80.0,2750.0,GB,2016.0,3081.9328,-331.9328,0.130875693481,0.107702802605
