Last Name,First Name,Position,Average Salary,Team
Brinkley,Niles,CB,681667,PIT
Chavis,Miguel,TE,681333,PIT
Greenwood,Brett,CB,681000,PIT
Charlton,Vaughn,TE,681000,PIT
Greenwood,Eric,WR,680667,PIT
Clanton,Erik,LB,680667,PIT
Miller,Colin,C,680667,PIT
Mims,Adam,WR,680667,PIT
Robinson,Armand,WR,680667,PIT
Boyle,Ty,DE,680333,PIT
Dieker,Chris,QB,680333,PIT
Harrison,Josh,T,680333,PIT
Chard,Derek,C,680333,PIT
Bates,Aaron,P,680333,PIT
Sepulveda,Daniel,P,650000,PIT
Brown,Curtis,CB,640300,PIT
Allen,Cortez,CB,607875,PIT
Sanders,Emmanuel,WR,600333,PIT
Harris,Macho,CB,600000,PIT
Kapinos,Jeremy,P,600000,PIT
Wallace,Mike,WR,580167,PIT
Lewis,Keenan,CB,555000,PIT
Carter,Chris,OLB,550700,PIT
Mundy,Ryan,S,525000,PIT
Atkins,Baraka,OLB,525000,PIT
Meredith,Jamon,G,525000,PIT
Legursky,Doug,C,525000,PIT
Batch,Baron,RB,521628,PIT
Saunders,Weslye,WR,466333,PIT
Cromartie-Smith,Da'Mon,S,465000,PIT
Ivy,Mortty,LB,465000,PIT
Gray,Anthony,DT,465000,PIT
Scott,Chris,G,451685,PIT
Sylvester,Stevenson,ILB,443853,PIT
Dwyer,Jonathan,RB,432800,PIT
Brown,Antonio,WR,429358,PIT
Clay,John,RB,415000,PIT
Johnson,David,FB,406067,PIT
Foster,Ramon,G,397667,PIT
Redman,Issac,RB,395667,PIT
McLendon,Steve,DT,362500,PIT
Joseph,Johnathan,CB,9750000,HOU
Johnson,Andre,WR,9685714,HOU
Williams,Mario,DE,9000000,HOU
Schaub,Matt,QB,8000000,HOU
Ryans,DeMeco,ILB,7800000,HOU
Smith,Antonio,DE,7100000,HOU
Winston,Eric,RT,6000000,HOU
Daniels,Owen,TE,5421875,HOU
Manning,Danieal,S,5000000,HOU
Walter,Kevin,WR,4300000,HOU
